ccmaName,ccbaMnm1,ccbaCtcdNm,ccsiName,ccbaAdmin,ccbaKdcd,ccbaCtcd,ccbaAsno,ccbaCncl,ccbaCpno,longitude,latitude,gcodeName,bcodeName,mcodeName,scodeName,ccbaLcad,ccceName,b_class,b_reason,has_coord,grade_w
국보,포항 냉수리 신라비,경북,포항시,포항시,11,37,0002640000000,N,1113702640000,129.263064134895,36.1298728090165,기록유산,서각류,금석각류,비,"<![CDATA[경상북도 포항시 북구 토성길37번길 13 (신광면, 신광면사무소, 신광보건지소) ]]>","443년(눌지왕 27), 503년(지증왕4) 추정",EXCLUDE,서책·문서 — 실내 소장품,Y,2.0
국보,도기 기마인물형 뿔잔,경북,경주시,국립경주박물관,11,37,0002750000000,N,1113702750000,129.227912382125,35.8293874259588,유물,생활공예,토도자공예,토기,"<![CDATA[경상북도 경주시 일정로 186 (인왕동, 국립경주박물관) ]]>",삼국시대(5세기),EXCLUDE,회화·공예·실내 조각 — 소장처 실내,Y,2.0
국보,경주 남산 칠불암 마애불상군,경북,경주시,경주시,11,37,0003120000000,N,1113703120000,129.235351103533,35.7714559121041,유물,불교조각,석조,불상,<![CDATA[경북 경주시 남산동 산36-4번지]]>,통일신라시대,B2,야외 석불·마애불·암각화,Y,2.0
국보,포항 중성리 신라비,경북,경주시,국가유산청 국립경주문화재연구소,11,37,0003180000000,N,1113703180000,129.30794819267,35.7833056305235,기록유산,서각류,금석각류,비,"<![CDATA[경상북도 경주시 불국로 132 (마동, 국립경주문화재연구소)]]>",신라시대,EXCLUDE,서책·문서 — 실내 소장품,Y,2.0
국보,삼국사기(2018-1),경북,경주시,옥＊＊＊,11,37,0003220000100,N,1113703220100,0,0,기록유산,전적류,목판본,,<![CDATA[경상북도  경주시]]>,1573년(선조 6),EXCLUDE,서책·문서 — 실내 소장품,N,2.0
보물,사인비구 제작 동종 - 포항 보경사 서운암 동종,경북,포항시,보경사,12,37,0000110000100,N,1123700110100,129.3179365,36.252233,유물,불교공예,의식법구,의식법구,<![CDATA[경북 포항시 북구 송라면 보경로 523 (중산리)]]>,조선 현종 8년(1667),EXCLUDE,회화·공예·실내 조각 — 소장처 실내,Y,2.0
보물,경주 불국사 사리탑,경북,경주시,불국사,12,37,0000610000000,N,1123700610000,129.331621,35.790610,유적건조물,종교신앙,불교,탑,"<![CDATA[경상북도 경주시 불국로  385(진현동, 불국사) ]]>",고려시대,B2,석조물,Y,2.0
보물,경주 서악동 마애여래삼존입상,경북,경주시,경주시,12,37,0000620000000,N,1123700620000,129.1758969,35.83352457,유물,불교조각,석조,불상,<![CDATA[경상북도 경주시 서악동 산 92-1]]>,통일신라시대,B2,야외 석불·마애불·암각화,Y,2.0
보물,경주 배동 석조여래삼존입상,경북,경주시,경주시,12,37,0000630000000,N,1123700630000,129.211247408685,35.8017720692457,유물,불교조각,석조,불상,<![CDATA[경상북도 경주시 배동 산 65-1 ]]>,삼국시대,B2,야외 석불·마애불·암각화,Y,2.0
보물,경주 보문사지 석조,경북,경주시,경주시,12,37,0000640000000,N,1123700640000,129.254229363082,35.8261815850046,유적건조물,종교신앙,불교,기타,<![CDATA[경북 경주시 보문동 848-16번지]]>,통일신라시대,B1,사찰·불전·교회 등 경내 건축,Y,2.0
