u,v,length_m,highway
13577620375,13577620373,9.0,residential
13577620373,529778453,33.9,residential
2911126356,529804021,98.3,residential
529804021,8477883191,53.5,residential
529792240,529792242,53.3,residential
529792242,790705556,45.5,residential
790705556,12342361381,85.0,residential
12342361381,529792227,29.3,residential
529792227,903866902,79.9,residential
903866902,529792228,23.9,residential
529792228,529792224,60.8,residential
529792241,903866853,82.2,residential
529792226,529792224,60.0,residential
529792224,529792229,32.5,residential
529792229,529792236,68.1,residential
529792236,529792232,26.6,residential
529792232,529792234,21.9,residential
529792234,790705564,134.2,residential
529792228,3801759612,67.1,residential
3801759612,790705482,59.0,residential
790705482,529792237,79.9,residential
529792237,13585896916,40.7,residential
13585896916,790705470,35.8,residential
529792238,11507998133,53.8,residential
11507998133,8477883189,13.4,residential
529792233,11507998127,31.8,residential
11507998127,529792231,42.9,residential
529792229,529792230,60.6,residential
529792230,529792222,24.7,residential
529792233,529792235,49.2,residential
529792235,529792230,68.0,residential
529792233,11507998126,38.4,residential
11507998126,529792234,23.2,residential
529792235,529792236,61.1,residential
790705533,790705465,158.2,residential
790705465,529792242,121.3,residential
529792243,790705589,107.5,residential
529792244,790705538,103.9,residential
529792248,11507998034,3.9,residential
11507998034,13585867912,42.3,residential
13585867912,2911126370,18.4,residential
2911126370,11507997966,44.0,residential
11507997966,10855907071,59.5,residential
10855907071,10855907072,10.8,residential
10855907072,529792238,29.5,residential
529470221,529803959,24.3,residential
529803959,529803943,20.1,residential
529803943,3759586198,13.8,residential
3759586198,529803944,14.7,residential
529803944,529803946,22.2,residential
529803946,529803947,13.7,residential
529803947,529803948,8.7,residential
529803948,11063244787,21.6,residential
11063244787,529803949,3.3,residential
529803949,529803950,15.6,residential
529803950,529803951,24.2,residential
529803951,529803952,18.4,residential
529803952,529803953,24.6,residential
529803953,529803954,28.9,residential
529803954,529803982,14.4,residential
529803982,529803989,9.4,residential
529803955,11063244784,22.2,path
11063244784,529803956,41.4,path
529803956,529803957,6.1,path
529803957,529803958,36.6,path
529803958,529803985,31.7,path
529803985,12311524226,19.9,path
12311524226,12311524236,12.9,path
12311524236,529803986,1.6,path
529803986,529803987,19.7,path
529803987,529803988,49.2,path
529803988,529803998,41.5,path
529803998,529803999,39.4,path
529803999,529804000,52.3,path
529804000,529804001,32.3,path
529804001,529804002,36.1,path
529803989,12311524238,7.5,residential
12311524238,12311524237,11.2,residential
12311524237,529803990,31.0,residential
529803990,12311524230,13.4,residential
12311524230,529803991,6.9,residential
529803991,529803992,13.3,residential
529803992,529803993,18.2,residential
529803993,529803994,12.0,residential
529803994,12311483268,17.3,residential
12311483268,529803995,3.1,residential
529803995,529803996,12.0,residential
529803996,529803997,19.0,residential
529803997,529804003,19.4,residential
529804003,529804004,14.9,residential
529804004,12311524239,16.8,residential
12311524239,529804005,4.2,residential
529804005,529804006,16.0,residential
529804006,529803973,18.5,residential
529803973,529803974,17.3,residential
529803974,529803975,15.4,residential
529803975,529803976,7.5,residential
529803976,529803977,12.2,residential
529803977,529803978,14.0,residential
529803978,12311524205,9.1,residential
12311524205,529803979,1.4,residential
529803979,529803980,20.0,residential
529803980,12311524251,24.7,residential
12311524251,529803981,7.5,residential
529803981,12311483274,25.3,residential
12311483274,529504113,13.5,residential
2122131955,2122131962,9.3,residential
2122131962,2122131943,4.6,residential
2122131943,436666871,5.4,residential
436666871,529804008,14.9,residential
529804008,529804009,36.8,residential
529804009,5224663706,42.1,residential
5224663706,529804010,16.9,residential
529804010,529804011,24.5,residential
2911126353,529804025,81.3,residential
529804014,529804018,46.6,residential
529804018,529804021,103.9,residential
529804015,10857999959,46.2,residential
10857999959,529804017,12.8,residential
529804017,529804018,37.4,residential
10828161857,529804019,6.0,residential
529804019,529804023,149.9,residential
529803960,529803961,84.1,residential
529803961,7437065253,6.6,residential
7437065253,7437065249,78.4,residential
9657906542,10857999971,5.2,tertiary
