id,lat,lon
790705556,35.8397085,129.2059631
10855840683,35.8393281,129.205962
13588441390,35.8393191,129.2059623
12342361441,35.8392637,129.2059639
13588441399,35.8392528,129.2059642
12342361438,35.8389601,129.2059728
529778425,35.8388648,129.206001
529778449,35.8329887,129.2077348
13604115121,35.8339127,129.2077658
529778387,35.8348816,129.2077505
13604051976,35.8356082,129.2077376
529778390,35.8367044,129.2077181
529778460,35.8389695,129.2098657
13577620343,35.8387625,129.2093726
13577620341,35.8387244,129.2092817
529778458,35.83865,129.2091045
3756798917,35.8385996,129.2089726
13577620346,35.8384975,129.2087258
529778455,35.8383416,129.2083032
13583273073,35.8382184,129.2078416
13583273074,35.8381758,129.2077025
13583273075,35.8381419,129.2076713
529778457,35.8380896,129.2076616
13577620350,35.8383663,129.2092427
529778459,35.8382405,129.209304
13577620355,35.8381293,129.2093053
13577620360,35.8379215,129.2093077
13577620357,35.8375883,129.2093115
529778450,35.8374712,129.2093132
4296547667,35.8372047,129.2093296
8721333057,35.8369118,129.2093322
529778451,35.8364734,129.2093361
529778452,35.8374326,129.2097007
13603201699,35.8374566,129.209637
13577620365,35.83746,129.2089547
13577620367,35.8374785,129.2085592
13094906952,35.8374954,129.2083504
13577620375,35.8375184,129.2081464
13577620373,35.8375229,129.2080469
529778453,35.83752,129.2076705
2911126356,35.845922,129.2116483
529804021,35.8458989,129.2127389
8477883191,35.8458882,129.2133326
529792240,35.8397025,129.2070593
529792242,35.8397084,129.2064676
12342361381,35.8397229,129.2050204
903866902,35.8397351,129.2038091
529792228,35.8397377,129.2035442
529792224,35.8397445,129.2028696
903866853,35.8392048,129.2037725
529792226,35.8392054,129.2028529
529792229,35.8400367,129.2028786
529792236,35.840649,129.2028973
529792232,35.8408878,129.2029049
529792234,35.841085,129.202911
790705564,35.8422912,129.2029483
3801759612,35.8403405,129.2035667
790705482,35.8408707,129.2035865
529792237,35.8415893,129.2036135
13585896916,35.8419554,129.2036272
790705470,35.8422773,129.2036392
529792238,35.8423052,129.2022537
11507998133,35.8418216,129.2022435
8477883189,35.8417012,129.202241
529792233,35.8411042,129.2022284
11507998127,35.8411059,129.2018753
529792231,35.8411082,129.201399
529792230,35.8400506,129.2022063
529792222,35.839982,129.2019453
529792235,35.8406619,129.2022191
11507998126,35.8410922,129.2026537
790705533,35.8422216,129.2064009
790705465,35.8407991,129.2064385
529792244,35.8428815,129.2059147
790705538,35.8429073,129.2047622
529792248,35.8441807,129.2022933
11507998034,35.8441453,129.2022926
13585867912,35.8437645,129.2022845
2911126370,35.8435993,129.202281
11507997966,35.8432032,129.2022832
10855907071,35.8426678,129.2022764
10855907072,35.8425704,129.2022697
529470221,35.8357239,129.2184649
529803959,35.8359243,129.2183583
529803943,35.8360926,129.2182775
3759586198,35.8362087,129.2182231
529803944,35.8363245,129.2181443
529803946,35.8364848,129.2179981
529803947,35.8365573,129.2178749
529803948,35.8365922,129.2177886
11063244787,35.8367134,129.2176018
529803949,35.8367321,129.2175729
529803950,35.836842,129.2174651
529803951,35.8369869,129.2172648
529803952,35.837096,129.217112
529803953,35.8372451,129.2169105
529803954,35.8373937,129.216647
529803982,35.8374598,129.2165092
529803989,35.8375063,129.2164217
529803955,35.8368229,129.2179593
11063244784,35.837021,129.2179851
529803956,35.8373107,129.2176962
529803957,35.8373552,129.2176565
529803958,35.837593,129.2179379
529803985,35.8378322,129.2177461
12311524226,35.8379956,129.2176564
12311524236,35.8381045,129.2176074
529803986,35.8381181,129.2176013
529803987,35.8382917,129.2175566
529803988,35.8387063,129.2173652
529803998,35.839042,129.2171647
529803999,35.8393719,129.2170051
529804000,35.8398013,129.2167694
529804001,35.8399964,129.2170342
529804002,35.8402376,129.2173027
12311524238,35.8375631,129.2163773
12311524237,35.8376617,129.2163502
529803990,35.8379407,129.2163413
12311524230,35.8380578,129.2163077
529803991,35.8381142,129.2162763
529803992,35.8382266,129.2162247
529803993,35.8383789,129.2161516
529803994,35.8384551,129.2160577
12311483268,35.8385629,129.2159199
529803995,35.8385824,129.2158949
529803996,35.8386728,129.2158219
529803997,35.8388428,129.215798
529804003,35.8390151,129.215765
529804004,35.8391467,129.2157369
12311524239,35.8392956,129.2157039
529804005,35.8393324,129.2156957
529804006,35.8394697,129.2156426
529803973,35.8396263,129.2155746
529803974,35.8397701,129.2155002
529803975,35.8398999,129.2154414
529803976,35.8399472,129.2153819
529803977,35.8400343,129.2152998
529803978,35.8401443,129.2152239
12311524205,35.840223,129.2151971
529803979,35.8402355,129.2151928
529803980,35.8404152,129.2151983
12311524251,35.8406377,129.2152008
529803981,35.8407054,129.2152016
12311483274,35.8409332,129.215203
529504113,35.8410545,129.2152038
2122131955,35.8410741,129.2155996
2122131962,35.8411493,129.2156446
2122131943,35.841171,129.2156875
436666871,35.8411887,129.2157432
529804008,35.8412533,129.2158886
529804009,35.8413601,129.216275
5224663706,35.8415331,129.2166909
529804010,35.8416301,129.2168358
529804011,35.8418437,129.2169033
2911126353,35.8430688,129.2166347
529804025,35.8438003,129.2166212
529804014,35.8445462,129.2126717
529804018,35.8449654,129.2126839
529804015,35.8450773,129.2116469
10857999959,35.8450632,129.212159
529804017,35.8449923,129.2122702
10828161857,35.844536,129.2108762
529804019,35.8445903,129.2108799
529804023,35.845937,129.2109437
529803960,35.8458803,129.2087045
529803961,35.8466362,129.2087027
7437065253,35.8466958,129.2087079
7437065249,35.8473839,129.2088965
9657906542,35.846877,129.2139723
10857999971,35.8468785,129.2139148
9657906541,35.8468871,129.2135775
9657906540,35.846907,129.2134723
9657906538,35.8469617,129.2133846
9657906537,35.8471597,129.2132678
9657906536,35.8472013,129.2132289
9657906535,35.8472299,129.2131722
9657906534,35.8472404,129.2130954
10857705866,35.8472449,129.2129132
10857705854,35.8472558,129.2124695
5342836245,35.8472599,129.2123042
10857691484,35.8472673,129.2120153
529804022,35.8472763,129.2116619
10857691483,35.8472986,129.211135
529780911,35.8473439,129.2100659
529804458,35.8461563,129.2063228
2911126374,35.8462406,129.2048349
529804457,35.8462484,129.2046406
13147446275,35.8462704,129.204319
529804452,35.8463149,129.2036664
2911126371,35.8463343,129.2030004
529804449,35.8463278,129.2027711
529804450,35.8463164,129.2018379
529804464,35.8487459,129.2069856
10857621944,35.848748,129.2069115
7437065248,35.8487658,129.2062843
529804469,35.8487961,129.2058924
529804465,35.8488189,129.2056537
10857999932,35.8488184,129.2054994
529804462,35.8488168,129.2049631
10857998377,35.8488125,129.2046338
10857998383,35.8488077,129.2042549
11507998100,35.848806,129.2041222
529804461,35.8488016,129.2037856
11507998149,35.8488002,129.2033557
529804460,35.8487994,129.203107
11507998098,35.848559,129.2037783
11507998097,35.8483801,129.2037729
529804453,35.8481948,129.2037673
11507998101,35.8479835,129.2037611
2911126361,35.8475775,129.2037165
529804454,35.8482125,129.203075
529804466,35.8491973,129.2049765
529804467,35.8494453,129.2049924
529804471,35.8494321,129.2053684
529804468,35.8494039,129.20594
529804470,35.8500951,129.2053807
529807851,35.8511408,129.2173421
529807852,35.8514074,129.2169849
529807853,35.851621,129.216663
529807854,35.8517971,129.2163137
529807855,35.8519608,129.2159641
529807856,35.8520722,129.2156614
529807824,35.8522089,129.215281
529807825,35.8522731,129.2149999
529807826,35.8523192,129.2147428
529807827,35.8523491,129.2145482
529807828,35.8523704,129.2143649
699849915,35.8524245,129.2141777
529807761,35.8505161,129.2069292
699849865,35.8507124,129.2077283
699850078,35.8509074,129.2085246
699849945,35.8510876,129.2092667
699850076,35.8512981,129.210012
529807812,35.8514867,129.2108253
699850051,35.8517877,129.2119922
699850223,35.8519588,129.212672
529807833,35.8520937,129.2132922
529807834,35.8521258,129.2135182
529807835,35.8521414,129.2136812
529807836,35.8521545,129.2138978
529807837,35.8521372,129.2141671
10831436508,35.8384407,129.2023809
10831436506,35.8392431,129.2020253
1780115793,35.8395309,129.2018946
10831436507,35.8415053,129.200998
2818004362,35.8412832,129.2003163
3657648701,35.8424309,129.19983
