feature_id,name,lat,lon,value,weight,sigungu,usable,geom,source
A7,오양공원,36.0887049,128.3596869,어린이공원,2100.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,오태공원(임오체육공원),36.08334808,128.3656831,근린공원,318155.0,경상북도 구미시청,True,point,전국도시공원정보표준데이터
A7,오태중앙공원,36.07086143,128.3518946,어린이공원,2869.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,온누리공원,36.08501479,128.3516445,어린이공원,1500.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,외골공원,36.16413166,128.3456528,어린이공원,2625.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,용호공원,36.25202291,128.3028621,어린이공원,1041.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,우항공원,36.15302997,128.4316389,근린공원,65794.0,경상북도 구미시청,True,point,전국도시공원정보표준데이터
A7,원당공원,36.14699652,128.4251859,근린공원,41643.0,경상북도 구미시청,True,point,전국도시공원정보표준데이터
A7,원앞공원,36.14476954,128.3468514,어린이공원,1014.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,원평공원,36.12076831,128.3549207,근린공원,14754.0,경상북도 구미시청,True,point,전국도시공원정보표준데이터
A7,원호공원,36.14947413,128.3318221,근린공원,15039.0,경상북도 구미시청,True,point,전국도시공원정보표준데이터
A7,유다리공원,36.24067336,128.3027651,어린이공원,1500.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,이례공원,36.20831164,128.3292058,어린이공원,2500.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,꿈동산공원,36.14001734,128.3146142,어린이공원,1500.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,야은공원,36.14817624,128.3231433,어린이공원,1500.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,양지공원,36.1256502,128.358521,근린공원,58048.0,경상북도 구미시청,True,point,전국도시공원정보표준데이터
A7,어린이공원,36.1036021,128.3559417,어린이공원,1524.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,어우름공원,36.09227528,128.4307624,어린이공원,1940.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
