feature_id,name,lat,lon,lat2,lon2,sigungu,weight,geom,value,source
A6,풍일로(풍천면),36.496001,128.5581987,36.4954741,128.5571503,안동시,413,segment,0.5,가로수길 표준데이터 수종분류
A6,광덕섬길(풍천면),36.5355662,128.4651104,36.5360452,128.468659,안동시,80,segment,0.0,가로수길 표준데이터 수종분류
A6,도청대로(풍천면),36.5731899,128.4938049,36.5714074,128.4972671,안동시,1130,segment,0.333,가로수길 표준데이터 수종분류
A6,천년숲서로,36.5737438,128.5013563,36.5735605,128.5037434,안동시,286,segment,0.0,가로수길 표준데이터 수종분류
A6,천년숲동로,36.5732364,128.5087083,36.57337,128.5067,안동시,269,segment,0.0,가로수길 표준데이터 수종분류
A6,청렴의길,36.5769624,128.5090601,36.5774502,128.5096728,안동시,161,segment,0.0,가로수길 표준데이터 수종분류
A6,화합의길,36.5693819,128.5085551,36.5670784,128.508298,안동시,278,segment,0.333,가로수길 표준데이터 수종분류
A6,가곡로(풍천면),36.5788062,128.5157098,36.5784707,128.515882,안동시,300,segment,1.0,가로수길 표준데이터 수종분류
A6,한옥마을로,36.5731573,128.5092653,36.5730611,128.5104587,안동시,297,segment,1.0,가로수길 표준데이터 수종분류
A6,선비의길,36.5694337,128.5087348,36.5691698,128.5124942,안동시,158,segment,0.5,가로수길 표준데이터 수종분류
A6,축제의길,36.5730219,128.4935448,36.5727268,128.4933715,안동시,41,segment,1.0,가로수길 표준데이터 수종분류
A6,검무로,36.5779577,128.4958631,36.577926,128.4962311,안동시,182,segment,0.5,가로수길 표준데이터 수종분류
A6,수호로,36.5764989,128.5015213,36.5704171,128.500778,안동시,252,segment,0.25,가로수길 표준데이터 수종분류
A6,풍요로,36.5737566,128.5010549,36.5738417,128.5000176,안동시,165,segment,0.5,가로수길 표준데이터 수종분류
A6,호수공원로,36.5699218,128.5007572,36.5694541,128.5006923,안동시,376,segment,0.0,가로수길 표준데이터 수종분류
A6,장수의길,36.5714122,128.4968874,36.5710014,128.496589,안동시,12,segment,0.0,가로수길 표준데이터 수종분류
A6,명품가로수길,36.5735771,128.5038554,36.5733804,128.5065885,안동시,56,segment,0.0,가로수길 표준데이터 수종분류
A6,호민로,36.5631126,128.4723547,36.5626711,128.4730836,안동시,291,segment,0.333,가로수길 표준데이터 수종분류
