feature_id,name,lat,lon,value,group_id,seq,sigungu,geom,source
A4,모래,36.811458,129.45686,모래,589,2,울진군,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.81153,129.456959,모래,589,3,울진군,polyline_point,국립해양조사원 해안선 2026
A4,자갈,35.898443,129.530517,자갈,667,0,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,35.898366,129.530297,자갈,667,1,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,35.898271,129.530146,자갈,667,2,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,35.898149,129.53003,자갈,667,3,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,35.898103,129.529968,자갈,667,4,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.640629,129.419401,암반,702,0,영덕군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.640502,129.419323,암반,702,1,영덕군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.640537,129.419266,암반,702,2,영덕군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.056042,129.524781,암반,720,0,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.056165,129.524703,암반,720,1,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.056278,129.524611,암반,720,2,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.056232,129.524453,암반,720,3,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.056377,129.524427,암반,720,4,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.056493,129.524336,암반,720,5,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.056579,129.52448,암반,720,6,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.056746,129.524492,암반,720,7,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.05688,129.524451,암반,720,8,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.056943,129.524263,암반,720,9,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.05708,129.524271,암반,720,10,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.057158,129.524414,암반,720,11,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.05703,129.524358,암반,720,12,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.056999,129.524524,암반,720,13,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.05709,129.524648,암반,720,14,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.057178,129.524774,암반,720,15,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.057311,129.524743,암반,720,16,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.057444,129.524778,암반,720,17,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.057522,129.524914,암반,720,18,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.057635,129.525006,암반,720,19,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.057713,129.525144,암반,720,20,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.057779,129.524998,암반,720,21,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.057905,129.525062,암반,720,22,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.05797,129.525221,암반,720,23,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.057983,129.525394,암반,720,24,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.057901,129.525545,암반,720,25,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.057752,129.525378,암반,720,26,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.057734,129.525213,암반,720,27,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.057712,129.525377,암반,720,28,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.057778,129.525529,암반,720,29,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.057745,129.525698,암반,720,30,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.057879,129.525671,암반,720,31,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.057861,129.525861,암반,720,32,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.057988,129.525806,암반,720,33,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.058078,129.525678,암반,720,34,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.058212,129.525762,암반,720,35,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.058056,129.525847,암반,720,36,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.058169,129.525939,암반,720,37,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.05828,129.526066,암반,720,38,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.058233,129.52623,암반,720,39,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.058297,129.526377,암반,720,40,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.058202,129.526556,암반,720,41,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.058033,129.526576,암반,720,42,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.057917,129.526484,암반,720,43,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.05788,129.526645,암반,720,44,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.057745,129.526647,암반,720,45,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.057662,129.526592,암반,720,46,포항시,polyline_point,국립해양조사원 해안선 2026
A4,부두,35.843942,129.517599,부두,738,0,포항시,polyline_point,국립해양조사원 해안선 2026
A4,부두,35.844143,129.517639,부두,738,1,포항시,polyline_point,국립해양조사원 해안선 2026
A4,부두,35.844279,129.51772,부두,738,2,포항시,polyline_point,국립해양조사원 해안선 2026
A4,부두,35.844304,129.517906,부두,738,3,포항시,polyline_point,국립해양조사원 해안선 2026
A4,부두,35.844473,129.518039,부두,738,4,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,35.762482,129.494393,자갈,750,0,경주시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,35.762358,129.494465,자갈,750,1,경주시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,35.762234,129.494535,자갈,750,2,경주시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,35.762102,129.494478,자갈,750,3,경주시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,35.761942,129.494476,자갈,750,4,경주시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,35.761792,129.494365,자갈,750,5,경주시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,35.761647,129.494286,자갈,750,6,경주시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,35.761588,129.494266,자갈,750,7,경주시,polyline_point,국립해양조사원 해안선 2026
A4,모래,35.655671,129.4514,모래,759,0,경주시,polyline_point,국립해양조사원 해안선 2026
A4,모래,35.655841,129.451341,모래,759,1,경주시,polyline_point,국립해양조사원 해안선 2026
A4,모래,35.655985,129.451354,모래,759,2,경주시,polyline_point,국립해양조사원 해안선 2026
